Bleu,Vert,Rouge,Valeur
214,218,29,Chlore_12
214,218,29,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
216,221,27,Chlore_12
212,216,27,Chlore_12
210,214,25,Chlore_12
210,214,25,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
216,221,27,Chlore_12
212,217,23,Chlore_12
212,217,23,Chlore_12
212,217,23,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
216,221,27,Chlore_12
214,219,25,Chlore_12
212,216,27,Chlore_12
215,220,26,Chlore_12
216,221,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
210,214,25,Chlore_12
210,214,25,Chlore_12
212,216,27,Chlore_12
209,213,24,Chlore_12
214,219,25,Chlore_12
214,218,29,Chlore_12
214,219,25,Chlore_12
216,221,27,Chlore_12
214,219,25,Chlore_12
216,221,27,Chlore_12
209,213,24,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
216,221,27,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
216,221,27,Chlore_12
214,218,29,Chlore_12
212,217,23,Chlore_12
214,219,25,Chlore_12
212,216,27,Chlore_12
214,219,25,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
208,212,23,Chlore_12
210,214,25,Chlore_12
212,216,27,Chlore_12
207,215,30,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
216,220,31,Chlore_12
212,217,23,Chlore_12
213,218,24,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
218,223,29,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
212,216,27,Chlore_12
214,218,29,Chlore_12
214,219,25,Chlore_12
214,219,25,Chlore_12
212,217,23,Chlore_12
214,219,25,Chlore_12
216,220,31,Chlore_12
212,217,23,Chlore_12
214,218,29,Chlore_12
212,216,27,Chlore_12
216,221,27,Chlore_12
212,216,27,Chlore_12
216,220,31,Chlore_12
214,219,25,Chlore_12
216,221,27,Chlore_12
214,218,29,Chlore_12
216,221,27,Chlore_12
214,218,29,Chlore_12
214,219,25,Chlore_12
212,216,27,Chlore_12
210,214,25,Chlore_12
212,216,27,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
214,219,25,Chlore_12
210,215,21,Chlore_12
214,219,25,Chlore_12
218,223,29,Chlore_12
212,217,23,Chlore_12
214,218,29,Chlore_12
212,216,27,Chlore_12
209,213,24,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
216,221,27,Chlore_12
214,219,25,Chlore_12
212,216,27,Chlore_12
214,218,29,Chlore_12
212,217,23,Chlore_12
216,221,27,Chlore_12
214,218,29,Chlore_12
214,219,25,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
210,214,25,Chlore_12
216,220,31,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
216,220,31,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
212,216,27,Chlore_12
216,220,31,Chlore_12
216,220,31,Chlore_12
212,216,27,Chlore_12
210,214,25,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
212,216,27,Chlore_12
211,220,29,Chlore_12
214,218,29,Chlore_12
216,220,31,Chlore_12
214,218,29,Chlore_12
214,218,29,Chlore_12
216,220,31,Chlore_12
212,216,27,Chlore_12
214,218,29,Chlore_12
212,216,27,Chlore_12
212,215,32,Chlore_12
214,218,29,Chlore_12
216,220,31,Chlore_12
214,218,29,Chlore_12
216,220,31,Chlore_12
214,218,29,Chlore_12
216,220,31,Chlore_12
214,218,29,Chlore_12
